Cimarron,1930,4,DIRECTING,Wesley Ruggles,FALSE
A Free Soul,1930,4,DIRECTING,Clarence Brown,FALSE
The Front Page,1930,4,DIRECTING,Lewis Milestone,FALSE
Morocco,1930,4,DIRECTING,Josef Von Sternberg,FALSE
Skippy,1930,4,DIRECTING,Norman Taurog,TRUE
Cimarron,1930,4,OUTSTANDING PRODUCTION,RKO Radio,TRUE
East Lynne,1930,4,OUTSTANDING PRODUCTION,Fox,FALSE
The Front Page,1930,4,OUTSTANDING PRODUCTION,The Caddo Company,FALSE
Skippy,1930,4,OUTSTANDING PRODUCTION,Paramount Publix,FALSE
Trader Horn,1930,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,FALSE
,1930,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,FALSE
,1930,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,FALSE
,1930,4,SOUND RECORDING,Paramount Publix Studio Sound Department,TRUE
,1930,4,SOUND RECORDING,RKO Radio Studio Sound Department,FALSE
Cimarron,1930,4,WRITING (Adaptation),Howard Estabrook,TRUE
The Criminal Code,1930,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",FALSE
Holiday,1930,4,WRITING (Adaptation),Horace Jackson,FALSE
Little Caesar,1930,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",FALSE
Skippy,1930,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",FALSE
The Dawn Patrol,1930,4,WRITING (Original Story),John Monk Saunders,TRUE
The Doorway to Hell,1930,4,WRITING (Original Story),Rowland Brown,FALSE
Laughter,1930,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",FALSE
The Public Enemy,1930,4,WRITING (Original Story),"John Bright, Kubec Glasmon",FALSE
Smart Money,1930,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",FALSE
The Champ,1931,5,ACTOR,Wallace Beery,TRUE
The Guardsman,1931,5,ACTOR,Alfred Lunt,FALSE
Dr. Jekyll and Mr. Hyde,1931,5,ACTOR,Fredric March,TRUE
Emma,1931,5,ACTRESS,Marie Dressler,FALSE
The Guardsman,1931,5,ACTRESS,Lynn Fontanne,FALSE
The Sin of Madelon Claudet,1931,5,ACTRESS,Helen Hayes,TRUE
À Nous la Liberté,1931,5,ART DIRECTION,Lazare Meerson,FALSE
Arrowsmith,1931,5,ART DIRECTION,Richard Day,FALSE
Transatlantic,1931,5,ART DIRECTION,Gordon Wiles,TRUE
Arrowsmith,1931,5,CINEMATOGRAPHY,Ray June,FALSE
Dr. Jekyll and Mr. Hyde,1931,5,CINEMATOGRAPHY,Karl Struss,FALSE
Shanghai Express,1931,5,CINEMATOGRAPHY,Lee Garmes,TRUE
Bad Girl,1931,5,DIRECTING,Frank Borzage,TRUE
The Champ,1931,5,DIRECTING,King Vidor,FALSE
Shanghai Express,1931,5,DIRECTING,Josef Von Sternberg,FALSE
Arrowsmith,1931,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,FALSE
Bad Girl,1931,5,OUTSTANDING PRODUCTION,Fox,FALSE
The Champ,1931,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,FALSE
Five Star Final,1931,5,OUTSTANDING PRODUCTION,First National,FALSE
Grand Hotel,1931,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,TRUE
One Hour with You,1931,5,OUTSTANDING PRODUCTION,Paramount Publix,FALSE
Shanghai Express,1931,5,OUTSTANDING PRODUCTION,Paramount Publix,FALSE
The Smiling Lieutenant,1931,5,OUTSTANDING PRODUCTION,Paramount Publix,FALSE
Flowers and Trees,1931,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",TRUE
It's Got Me Again,1931,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",FALSE
Mickey's Orphans,1931,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",FALSE
The Loud Mouth,1931,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",FALSE
The Music Box,1931,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",TRUE
Scratch-As-Catch-Can,1931,5,SHORT SUBJECT (Comedy),RKO Radio,FALSE
Stout Hearts and Willing Hands,1931,5,SHORT SUBJECT (Comedy),RKO Radio,FALSE
Screen Souvenirs,1931,5,SHORT SUBJECT (Novelty),Paramount Publix,FALSE
Swing High,1931,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,FALSE
Wrestling Swordfish,1931,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",TRUE
,1931,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,FALSE
,1931,5,SOUND RECORDING,Paramount Publix Studio Sound Department,TRUE
,1931,5,SOUND RECORDING,RKO Radio Studio Sound Department,FALSE
,1931,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,FALSE
Arrowsmith,1931,5,WRITING (Adaptation),Sidney Howard,FALSE
Bad Girl,1931,5,WRITING (Adaptation),Edwin Burke,TRUE
Dr. Jekyll and Mr. Hyde,1931,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",FALSE
The Champ,1931,5,WRITING (Original Story),Frances Marion,TRUE
Lady and Gent,1931,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",FALSE
The Star Witness,1931,5,WRITING (Original Story),Lucien Hubbard,FALSE
What Price Hollywood?,1931,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",FALSE
,1931,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",TRUE
Berkeley Square,1932,6,ACTOR,Leslie Howard,FALSE
The Private Life of Henry VIII,1932,6,ACTOR,Charles Laughton,TRUE
I Am a Fugitive from a Chain Gang,1932,6,ACTOR,Paul Muni,FALSE
Morning Glory,1932,6,ACTRESS,Katharine Hepburn,TRUE
Lady for a Day,1932,6,ACTRESS,May Robson,FALSE
Cavalcade,1932,6,ACTRESS,Diana Wynyard,FALSE
Cavalcade,1932,6,ART DIRECTION,William S. Darling,TRUE
A Farewell to Arms,1932,6,ART DIRECTION,"Hans Dreier, Roland Anderson",FALSE
When Ladies Meet,1932,6,ART DIRECTION,Cedric Gibbons,FALSE
,1932,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),FALSE
,1932,6,ASSISTANT DIRECTOR,William Tummel (Fox),TRUE
,1932,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),TRUE
,1932,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),FALSE
,1932,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),FALSE
,1932,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),TRUE
,1932,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),FALSE
,1932,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),FALSE
,1932,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),FALSE
,1932,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),TRUE
,1932,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),TRUE
,1932,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),FALSE
,1932,6,ASSISTANT DIRECTOR,Scott Beal (Universal),TRUE
,1932,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),FALSE
,1932,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),FALSE
,1932,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),FALSE
,1932,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),TRUE
,1932,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),FALSE
A Farewell to Arms,1932,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",TRUE
Reunion in Vienna,1932,6,CINEMATOGRAPHY,George J. Folsey,FALSE
The Sign of the Cross,1932,6,CINEMATOGRAPHY,Karl Struss,FALSE
Cavalcade,1932,6,DIRECTING,Frank Lloyd,TRUE
Lady for a Day,1932,6,DIRECTING,Frank Capra,FALSE
Little Women,1932,6,DIRECTING,George Cukor,FALSE
Cavalcade,1932,6,OUTSTANDING PRODUCTION,Fox,TRUE
A Farewell to Arms,1932,6,OUTSTANDING PRODUCTION,Paramount,FALSE
42nd Street,1932,6,OUTSTANDING PRODUCTION,Warner Bros.,FALSE
I Am a Fugitive from a Chain Gang,1932,6,OUTSTANDING PRODUCTION,Warner Bros.,FALSE
Lady for a Day,1932,6,OUTSTANDING PRODUCTION,Columbia,FALSE
Little Women,1932,6,OUTSTANDING PRODUCTION,RKO Radio,FALSE
